DRUGID,TARGETID,VALUE
CHEMBL1090360,P43405,12.299998172
CHEMBL1090360,P45983,12.699997654
CHEMBL1090360,P45984,13.699980365
CHEMBL1090360,P48729,11.300000237
CHEMBL1090360,P48730,12.361695118
CHEMBL1090360,P49137,11.200000128
CHEMBL1090360,P49760,11.200000128
CHEMBL1090360,P49840,12.131552515
CHEMBL1090360,P49841,12.23914734
CHEMBL1090360,P51451,13.059548623
CHEMBL1090360,P51617,11.200000128
CHEMBL1090360,P51812,11.200000128
CHEMBL1090360,P51817,11.900000875
CHEMBL1090360,P51955,12.720602702
CHEMBL1090360,P51957,11.300000237
CHEMBL1090360,P52333,12.175286885
CHEMBL1090360,P53350,12.11610018
CHEMBL1090360,P53778,12.120173444
CHEMBL1090360,P68400,11.300000237
CHEMBL1090360,P78368,11.200000128
CHEMBL1090360,Q00535,12.112837225
CHEMBL1090360,Q05397,12.399997603
CHEMBL1090360,Q05513,11.200000128
CHEMBL1090360,Q05655,12.11610018
CHEMBL1090360,Q06418,11.800000504
CHEMBL1090360,Q08881,12.175286885
CHEMBL1090360,Q12851,13.200015437
CHEMBL1090360,Q13131,11.900000875
CHEMBL1090360,Q13153,12.494769328
CHEMBL1090360,Q13188,12.404043831
CHEMBL1090360,Q13237,11.900000875
CHEMBL1090360,Q13464,12.112837225
CHEMBL1090360,Q13554,11.200000128
CHEMBL1090360,Q13555,11.300000237
CHEMBL1090360,Q13557,11.300000237
CHEMBL1090360,Q13627,12.120173444
CHEMBL1090360,Q13976,11.800000504
CHEMBL1090360,Q14012,11.200000128
CHEMBL1090360,Q14680,11.900000875
CHEMBL1090360,Q15303,14.113255031
CHEMBL1090360,Q16288,11.999998417
CHEMBL1090360,Q16513,11.200000128
CHEMBL1090360,Q16620,12.12524764
CHEMBL1090360,Q16644,12.112837225
CHEMBL1090360,Q5VT25,12.112837225
CHEMBL1090360,Q7KZI7,11.200000128
CHEMBL1090360,Q7L7X3,12.699997654
CHEMBL1090360,Q86V86,11.200000128
CHEMBL1090360,Q8IW41,11.900000875
CHEMBL1090360,Q8N4C8,11.900000875
CHEMBL1090360,Q8NE63,12.599996932
CHEMBL1090360,Q8TDC3,11.1
CHEMBL1090360,Q96GD4,12.975106775
CHEMBL1090360,Q96KB5,11.1
CHEMBL1090360,Q96PF2,11.900000875
CHEMBL1090360,Q96SB4,11.500000186
CHEMBL1090360,Q9BXA7,11.900000875
CHEMBL1090360,Q9BZL6,12.11610018
CHEMBL1090360,Q9H2G2,13.200015437
CHEMBL1090360,Q9H2X6,11.599999679
CHEMBL1090360,Q9H3Y6,12.199999035
CHEMBL1090360,Q9H4B4,12.11610018
CHEMBL1090360,Q9HAZ1,11.1
CHEMBL1090360,Q9HBY8,11.1
CHEMBL1090360,Q9HCP0,11.300000237
CHEMBL1090360,Q9NR20,11.200000128
CHEMBL1090360,Q9NWZ3,11.1
CHEMBL1090360,Q9NYL2,12.799991797
CHEMBL1090360,Q9P1W9,12.175286885
CHEMBL1090360,Q9UEE5,11.500000186
CHEMBL1090360,Q9UM73,11.999998417
CHEMBL1090360,Q9Y243,12.112837225
CHEMBL1090360,Q9Y4K4,14.400162274
CHEMBL1090360,Q9Y6M4,11.300000237
CHEMBL1688215,O00141,11.1
CHEMBL1688215,O14757,11.1
CHEMBL1688215,O14965,12.504466153
CHEMBL1688215,O15111,13.1
CHEMBL1688215,O15530,12.515897595
CHEMBL1688215,P06213,11.1
CHEMBL1688215,P08069,11.1
CHEMBL1688215,P23443,11.297910742
CHEMBL1688215,P24941,12.652841969
CHEMBL1688215,P31749,11.1
CHEMBL1688215,P35968,12.175720714
CHEMBL1688215,P42336,11.1
CHEMBL1688215,P43405,11.497940009
CHEMBL1688215,P45983,11.1
CHEMBL1688215,P52333,12.104364805
CHEMBL1688215,Q13464,11.900000875
CHEMBL1688215,Q96GD4,11.579210217
CHEMBL1688215,Q99683,11.344887734
CHEMBL1765781,O00141,12.1
CHEMBL1765781,O14757,12.1
CHEMBL1765781,O14965,12.1
CHEMBL1765781,O15111,12.1
CHEMBL1765781,O43293,12.1
CHEMBL1765781,O60674,12.531798276
CHEMBL1765781,O75116,12.1
CHEMBL1765781,O75582,12.1
CHEMBL1765781,P00519,12.1
CHEMBL1765781,P00533,12.1
CHEMBL1765781,P04049,11.798970004
CHEMBL1765781,P05771,12.1
CHEMBL1765781,P06213,12.1
CHEMBL1765781,P06239,12.40980392
CHEMBL1765781,P06241,12.1
CHEMBL1765781,P06493,12.1
CHEMBL1765781,P07332,12.1
CHEMBL1765781,P07947,12.1
CHEMBL1765781,P07948,12.1
CHEMBL1765781,P07949,12.1
CHEMBL1765781,P08069,12.1
CHEMBL1765781,P08631,12.1
CHEMBL1765781,P08922,12.1
CHEMBL1765781,P10721,12.798970004
CHEMBL1765781,P11309,12.1
CHEMBL1765781,P12931,13.020818754
CHEMBL1765781,P16234,12.1
CHEMBL1765781,P16591,12.1
CHEMBL1765781,P22455,12.1
CHEMBL1765781,P23443,12.1
CHEMBL1765781,P27361,11.798970004
CHEMBL1765781,P28482,11.798970004
CHEMBL1765781,P29323,12.1
CHEMBL1765781,P31749,12.1
CHEMBL1765781,P35968,12.466531544
CHEMBL1765781,P36888,13.798970004
CHEMBL1765781,P41240,12.1
CHEMBL1765781,P41279,12.1
CHEMBL1765781,P43403,11.798970004
CHEMBL1765781,P45983,12.1
CHEMBL1765781,P49841,12.1
CHEMBL1765781,P51813,12.1
CHEMBL1765781,P52333,12.555931956
CHEMBL1765781,P52564,12.1
CHEMBL1765781,Q02750,12.1
CHEMBL1765781,Q02763,12.1
CHEMBL1765781,Q04759,11.798970004
CHEMBL1765781,Q04912,12.1
CHEMBL1765781,Q05397,12.1
CHEMBL1765781,Q06187,12.1
CHEMBL1765781,Q08881,14.25490196
CHEMBL1765781,Q13188,12.1
CHEMBL1765781,Q13627,12.1
CHEMBL1765781,Q15303,12.1
CHEMBL1765781,Q15418,12.1
CHEMBL1765781,Q15759,12.1
CHEMBL1765781,Q16513,12.1
CHEMBL1765781,Q16539,12.1
CHEMBL1765781,Q16566,12.1
CHEMBL1765781,Q8IU85,12.1
CHEMBL1765781,Q8IW41,12.1
CHEMBL1765781,Q9H4B4,12.1
CHEMBL1765781,Q9NWZ3,12.1
CHEMBL1765781,Q9UHD2,12.1
CHEMBL1788116,O00141,11.1
CHEMBL1788116,O14757,11.1
CHEMBL1788116,O14920,11.1
CHEMBL1788116,O15530,11.1
CHEMBL1788116,O75116,11.1
CHEMBL1788116,O75582,11.1
CHEMBL1788116,P00533,11.1
CHEMBL1788116,P04049,12.020818754
CHEMBL1788116,P12931,12.058607315
CHEMBL1788116,P17252,11.1
CHEMBL1788116,P23443,11.1
CHEMBL1788116,P24941,11.953871964
CHEMBL1788116,P27361,11.1
CHEMBL1788116,P31749,11.1
CHEMBL1788116,P45983,12.923908741
CHEMBL1788116,P45984,12.757577319
CHEMBL1788116,P49137,11.1
CHEMBL1788116,P51451,11.1
CHEMBL1788116,P51812,11.1
CHEMBL1788116,P52564,11.1
CHEMBL1788116,P53779,13.25490196
CHEMBL1788116,Q02750,11.1
CHEMBL1788116,Q16539,11.418758763
CHEMBL1788116,Q8IW41,11.1
CHEMBL1788116,Q9UBS0,11.1
CHEMBL1929238,O00141,10.821246399
CHEMBL1929238,O14757,10.622878745
CHEMBL1929238,O14920,10.622878745
CHEMBL1929238,O14965,10.622878745
CHEMBL1929238,O15264,10.622878745
CHEMBL1929238,O43293,10.594850022
CHEMBL1929238,O60285,10.622878745
CHEMBL1929238,O60674,10.622878745
CHEMBL1929238,O75116,10.622878745
CHEMBL1929238,O75582,10.622878745
CHEMBL1929238,O75676,10.622878745
CHEMBL1929238,O96013,10.622878745
CHEMBL1929238,O96017,10.622878745
CHEMBL1929238,P00519,10.622878745
CHEMBL1929238,P00533,10.622878745
CHEMBL1929238,P04629,10.637602002
CHEMBL1929238,P05129,10.622878745
CHEMBL1929238,P05771,10.608864383
CHEMBL1929238,P06213,10.622878745
CHEMBL1929238,P06239,10.622878745
CHEMBL1929238,P06241,10.622878745
CHEMBL1929238,P06493,10.622878745
CHEMBL1929238,P07332,10.622878745
CHEMBL1929238,P07333,10.622878745
CHEMBL1929238,P07947,10.622878745
CHEMBL1929238,P07948,10.466531544
CHEMBL1929238,P07949,11.531798276
CHEMBL1929238,P08069,10.622878745
CHEMBL1929238,P08581,10.622878745
CHEMBL1929238,P08631,10.622878745
CHEMBL1929238,P08922,10.622878745
CHEMBL1929238,P09619,10.622878745
CHEMBL1929238,P09769,10.622878745
CHEMBL1929238,P11309,10.622878745
CHEMBL1929238,P11362,10.622878745
CHEMBL1929238,P12931,10.622878745
CHEMBL1929238,P15735,10.622878745
CHEMBL1929238,P16234,10.622878745
CHEMBL1929238,P16591,10.622878745
CHEMBL1929238,P17252,10.622878745
CHEMBL1929238,P17948,10.622878745
CHEMBL1929238,P21802,10.622878745
CHEMBL1929238,P22455,10.622878745
CHEMBL1929238,P22607,10.622878745
CHEMBL1929238,P23443,10.798970004
CHEMBL1929238,P24723,10.622878745
CHEMBL1929238,P24941,10.622878745
CHEMBL1929238,P27361,10.622878745
CHEMBL1929238,P28482,10.622878745
CHEMBL1929238,P29317,10.895880017
CHEMBL1929238,P29323,11.242667504
CHEMBL1929238,P30530,10.622878745
CHEMBL1929238,P31749,10.622878745
CHEMBL1929238,P31751,10.622878745
CHEMBL1929238,P34947,10.622878745
CHEMBL1929238,P35916,10.622878745
CHEMBL1929238,P35968,10.622878745
CHEMBL1929238,P36888,10.622878745
CHEMBL1929238,P41240,10.622878745
CHEMBL1929238,P42684,10.622878745
CHEMBL1929238,P43403,10.622878745
CHEMBL1929238,P43405,10.622878745
CHEMBL1929238,P45983,10.622878745
CHEMBL1929238,P45984,11.108773924
CHEMBL1929238,P48729,10.622878745
CHEMBL1929238,P49137,10.622878745
CHEMBL1929238,P49841,10.622878745
CHEMBL1929238,P50750,10.622878745
CHEMBL1929238,P51451,10.622878745
CHEMBL1929238,P51617,10.622878745
CHEMBL1929238,P51813,10.622878745
CHEMBL1929238,P51817,10.622878745
CHEMBL1929238,P52333,10.622878745
CHEMBL1929238,P53350,10.622878745
CHEMBL1929238,P53778,10.622878745
CHEMBL1929238,P53779,10.622878745
CHEMBL1929238,P54760,11.160480747
CHEMBL1929238,P68400,10.622878745
CHEMBL1929238,P80192,10.622878745
CHEMBL1929238,Q00535,10.622878745
CHEMBL1929238,Q02763,10.401029995999998
CHEMBL1929238,Q04759,10.622878745
CHEMBL1929238,Q04912,10.622878745
CHEMBL1929238,Q05397,10.622878745
CHEMBL1929238,Q05655,10.923908741
CHEMBL1929238,Q06187,10.622878745
CHEMBL1929238,Q13177,10.622878745
CHEMBL1929238,Q13188,10.622878745
CHEMBL1929238,Q13464,10.622878745
CHEMBL1929238,Q13554,11.668636236
CHEMBL1929238,Q13557,11.020818754
CHEMBL1929238,Q13882,10.622878745
CHEMBL1929238,Q13976,10.622878745
CHEMBL1929238,Q14289,10.622878745
CHEMBL1929238,Q15078,10.622878745
CHEMBL1929238,Q15118,10.622878745
CHEMBL1929238,Q15139,10.622878745
CHEMBL1929238,Q15303,10.622878745
CHEMBL1929238,Q15418,10.622878745
CHEMBL1929238,Q15759,13.401029996
CHEMBL1929238,Q16539,13.757577319
CHEMBL1929238,Q16620,11.160480747
CHEMBL1929238,Q16644,10.622878745
CHEMBL1929238,Q7KZI7,10.622878745
CHEMBL1929238,Q8IW41,10.622878745
CHEMBL1929238,Q8N4C8,10.622878745
CHEMBL1929238,Q8TDC3,10.622878745
CHEMBL1929238,Q96PF2,10.622878745
CHEMBL1929238,Q96RG2,10.622878745
CHEMBL1929238,Q99683,10.622878745
CHEMBL1929238,Q9H4B4,10.622878745
CHEMBL1929238,Q9NWZ3,10.622878745
CHEMBL1929238,Q9P1W9,10.622878745
CHEMBL1929238,Q9UBE8,10.622878745
CHEMBL1929238,Q9UEE5,10.622878745
CHEMBL1929238,Q9UHD2,10.622878745
CHEMBL1929238,Q9UM73,10.622878745
CHEMBL1929238,Q9Y243,10.622878745
CHEMBL1933552,O00141,10.622878745
CHEMBL1933552,O14757,10.622878745
CHEMBL1933552,O14920,10.622878745
CHEMBL1933552,O14965,10.622878745
CHEMBL1933552,O96013,10.622878745
CHEMBL1933552,O96017,10.622878745
CHEMBL1933552,P00519,10.622878745
CHEMBL1933552,P00533,10.622878745
CHEMBL1933552,P04629,10.622878745
CHEMBL1933552,P06213,10.622878745
CHEMBL1933552,P06239,10.622878745
CHEMBL1933552,P08581,10.622878745
CHEMBL1933552,P11362,10.743974143
CHEMBL1933552,P12931,10.622878745
CHEMBL1933552,P24941,10.622878745
CHEMBL1933552,P28482,10.622878745
CHEMBL1933552,P30530,10.723423043
CHEMBL1933552,P31749,10.622878745
CHEMBL1933552,P35968,10.759555885
CHEMBL1933552,P48730,11.861953897
CHEMBL1933552,P49137,10.622878745
CHEMBL1933552,P49841,10.622878745
CHEMBL1933552,Q05513,10.622878745
CHEMBL1933552,Q06187,10.622878745
CHEMBL1933552,Q12866,12.113228266
CHEMBL1933552,Q14164,10.622878745
CHEMBL1933552,Q15118,10.622878745
CHEMBL1933552,Q9P1W9,10.622878745
CHEMBL202930,O00141,10.401029995999998
CHEMBL202930,O14757,14.28282766
CHEMBL202930,O96017,10.762940274
CHEMBL202930,P00533,10.401029995999998
CHEMBL202930,P05129,10.401029995999998
CHEMBL202930,P06493,10.401029995999998
CHEMBL202930,P12931,10.401029995999998
CHEMBL202930,P19784,10.401029995999998
CHEMBL202930,P49137,10.401029995999998
CHEMBL202930,P67870,10.401029995999998
CHEMBL202930,P68400,10.401029995999998
CHEMBL202930,Q02763,10.401029995999998
CHEMBL202930,Q05655,10.401029995999998
CHEMBL204420,O00141,11.1
CHEMBL204420,O14757,11.1
CHEMBL204420,O15264,11.1
CHEMBL204420,O43741,11.1
CHEMBL204420,O75116,11.1
CHEMBL204420,P00533,13.409894379
CHEMBL204420,P06239,11.1
CHEMBL204420,P12931,11.1
CHEMBL204420,P17612,11.1
CHEMBL204420,P22612,11.1
CHEMBL204420,P22694,11.1
CHEMBL204420,P28482,11.1
CHEMBL204420,P35968,11.1
CHEMBL204420,P45983,11.1
CHEMBL204420,P45984,11.1
CHEMBL204420,P49841,11.1
CHEMBL204420,P53778,11.1
CHEMBL204420,P53779,11.1
CHEMBL204420,P54619,11.1
CHEMBL204420,P54646,11.1
CHEMBL204420,Q13131,11.1
CHEMBL204420,Q15759,11.1
CHEMBL204420,Q16539,11.1
CHEMBL204420,Q9UGI9,11.1
CHEMBL204420,Q9UGJ0,11.1
CHEMBL204420,Q9Y478,11.1
CHEMBL206783,O00141,11.1
CHEMBL206783,O14757,11.1
CHEMBL206783,O15264,11.1
CHEMBL206783,O43741,11.1
CHEMBL206783,O75116,11.1
CHEMBL206783,P00533,13.710924375
CHEMBL206783,P06239,11.1
CHEMBL206783,P12931,11.1
CHEMBL206783,P17612,11.1
CHEMBL206783,P22612,11.1
CHEMBL206783,P22694,11.1
CHEMBL206783,P28482,11.1
CHEMBL206783,P35968,11.1
CHEMBL206783,P45983,11.1
CHEMBL206783,P45984,11.1
CHEMBL206783,P49841,11.1
CHEMBL206783,P53778,11.1
CHEMBL206783,P53779,11.1
CHEMBL206783,P54619,11.1
CHEMBL206783,P54646,11.1
CHEMBL206783,Q13131,11.1
CHEMBL206783,Q15759,11.1
CHEMBL206783,Q16539,11.1
CHEMBL206783,Q9UGI9,11.1
CHEMBL206783,Q9UGJ0,11.1
CHEMBL206783,Q9Y478,11.1
CHEMBL206955,O00141,11.1
CHEMBL206955,O14757,11.1
CHEMBL206955,O15264,11.1
CHEMBL206955,O43741,11.1
CHEMBL206955,O75116,11.1
CHEMBL206955,P00533,13.909894379
CHEMBL206955,P06239,11.1
CHEMBL206955,P12931,11.1
CHEMBL206955,P17612,11.1
CHEMBL206955,P22612,11.1
CHEMBL206955,P22694,11.1
CHEMBL206955,P28482,11.1
CHEMBL206955,P35968,11.1
CHEMBL206955,P45983,11.1
CHEMBL206955,P45984,11.1
CHEMBL206955,P49841,11.1
CHEMBL206955,P53778,11.1
CHEMBL206955,P53779,11.1
CHEMBL206955,P54619,11.1
CHEMBL206955,P54646,11.1
CHEMBL206955,Q13131,11.1
CHEMBL206955,Q15759,11.1
CHEMBL206955,Q16539,11.1
CHEMBL206955,Q9UGI9,11.1
CHEMBL206955,Q9UGJ0,11.1
CHEMBL206955,Q9Y478,11.1
CHEMBL207037,O00141,11.1
CHEMBL207037,O14757,11.1
CHEMBL207037,O15264,11.1
CHEMBL207037,O43741,11.1
CHEMBL207037,O75116,11.1
CHEMBL207037,P00533,13.01195437
CHEMBL207037,P06239,11.1
CHEMBL207037,P12931,11.1
CHEMBL207037,P17612,11.1
CHEMBL207037,P22612,11.1
CHEMBL207037,P22694,11.1
CHEMBL207037,P28482,11.1
CHEMBL207037,P35968,11.1
CHEMBL207037,P45983,11.1
CHEMBL207037,P45984,11.1
CHEMBL207037,P49841,11.1
CHEMBL207037,P53778,11.1
CHEMBL207037,P53779,11.1
CHEMBL207037,P54619,11.1
CHEMBL207037,P54646,11.1
CHEMBL207037,Q13131,11.1
CHEMBL207037,Q15759,11.1
CHEMBL207037,Q16539,11.1
CHEMBL207037,Q9UGI9,11.1
CHEMBL207037,Q9UGJ0,11.1
CHEMBL207037,Q9Y478,11.1
CHEMBL207130,O00141,11.1
CHEMBL207130,O14757,11.1
CHEMBL207130,O15264,11.1
CHEMBL207130,O43741,11.1
CHEMBL207130,O75116,11.1
CHEMBL207130,P00533,13.82184875
CHEMBL207130,P06239,11.1
CHEMBL207130,P12931,11.1
CHEMBL207130,P17612,11.1
CHEMBL207130,P22612,11.1
CHEMBL207130,P22694,11.1
CHEMBL207130,P28482,11.1
CHEMBL207130,P35968,11.1
CHEMBL207130,P45983,11.1
CHEMBL207130,P45984,11.1
CHEMBL207130,P49841,11.1
CHEMBL207130,P53778,11.1
CHEMBL207130,P53779,11.1
CHEMBL207130,P54619,11.1
CHEMBL207130,P54646,11.1
CHEMBL207130,Q13131,11.1
CHEMBL207130,Q15759,11.1
CHEMBL207130,Q16539,11.1
CHEMBL207130,Q9UGI9,11.1
CHEMBL207130,Q9UGJ0,11.1
CHEMBL207130,Q9Y478,11.1
CHEMBL207235,O00141,11.1
CHEMBL207235,O14757,11.1
CHEMBL207235,O15264,11.1
CHEMBL207235,O43741,11.1
CHEMBL207235,O75116,11.1
CHEMBL207235,P00533,13.901029996
CHEMBL207235,P06239,11.1
CHEMBL207235,P12931,11.1
CHEMBL207235,P17612,11.1
CHEMBL207235,P22612,11.1
CHEMBL207235,P22694,11.1
CHEMBL207235,P28482,11.1
CHEMBL207235,P35968,11.1
CHEMBL207235,P45983,11.1
CHEMBL207235,P45984,11.1
CHEMBL207235,P49841,11.1
CHEMBL207235,P53778,11.1
CHEMBL207235,P53779,11.1
CHEMBL207235,P54619,11.1
CHEMBL207235,P54646,11.1
CHEMBL207235,Q13131,11.1
CHEMBL207235,Q15759,11.1
CHEMBL207235,Q16539,11.1
CHEMBL207235,Q9UGI9,11.1
CHEMBL207235,Q9UGJ0,11.1
CHEMBL207235,Q9Y478,11.1
CHEMBL207246,O00141,11.1
CHEMBL207246,O14757,11.1
CHEMBL207246,O15264,11.1
CHEMBL207246,O43741,11.1
CHEMBL207246,O75116,11.1
CHEMBL207246,P00533,13.200329725
CHEMBL207246,P06239,11.1
CHEMBL207246,P12931,11.1
CHEMBL207246,P17612,11.1
CHEMBL207246,P22612,11.1
CHEMBL207246,P22694,11.1
CHEMBL207246,P28482,11.1
CHEMBL207246,P35968,11.1
CHEMBL207246,P45983,11.1
CHEMBL207246,P45984,11.1
CHEMBL207246,P49841,11.1
CHEMBL207246,P53778,11.1
CHEMBL207246,P53779,11.1
CHEMBL207246,P54619,11.1
CHEMBL207246,P54646,11.1
CHEMBL207246,Q13131,11.1
CHEMBL207246,Q15759,11.1
CHEMBL207246,Q16539,11.1
CHEMBL207246,Q9UGI9,11.1
CHEMBL207246,Q9UGJ0,11.1
CHEMBL207246,Q9Y478,11.1
CHEMBL207445,O00141,11.1
CHEMBL207445,O14757,11.1
CHEMBL207445,O15264,11.1
CHEMBL207445,O43741,11.1
CHEMBL207445,O75116,11.1
CHEMBL207445,P00533,13.750514998
CHEMBL207445,P06239,11.1
CHEMBL207445,P12931,11.1
CHEMBL207445,P17612,11.1
CHEMBL207445,P22612,11.1
CHEMBL207445,P22694,11.1
CHEMBL207445,P28482,11.1
CHEMBL207445,P35968,11.1
CHEMBL207445,P45983,11.1
CHEMBL207445,P45984,11.1
CHEMBL207445,P49841,11.1
CHEMBL207445,P53778,11.1
CHEMBL207445,P53779,11.1
CHEMBL207445,P54619,11.1
CHEMBL207445,P54646,11.1
CHEMBL207445,Q13131,11.1
CHEMBL207445,Q15759,11.1
CHEMBL207445,Q16539,11.1
CHEMBL207445,Q9UGI9,11.1
CHEMBL207445,Q9UGJ0,11.1
CHEMBL207445,Q9Y478,11.1
CHEMBL207584,O00141,11.1
CHEMBL207584,O14757,11.1
CHEMBL207584,O15264,11.1
CHEMBL207584,O43741,11.1
CHEMBL207584,O75116,11.1
CHEMBL207584,P00533,13.491258028
CHEMBL207584,P06239,11.1
CHEMBL207584,P12931,11.1
CHEMBL207584,P17612,11.1
CHEMBL207584,P22612,11.1
CHEMBL207584,P22694,11.1
CHEMBL207584,P28482,11.1
CHEMBL207584,P35968,11.1
CHEMBL207584,P45983,11.1
CHEMBL207584,P45984,11.1
CHEMBL207584,P49841,11.1
CHEMBL207584,P53778,11.1
CHEMBL207584,P53779,11.1
CHEMBL207584,P54619,11.1
CHEMBL207584,P54646,11.1
CHEMBL207584,Q13131,11.1
CHEMBL207584,Q15759,11.1
CHEMBL207584,Q16539,11.1
CHEMBL207584,Q9UGI9,11.1
CHEMBL207584,Q9UGJ0,11.1
CHEMBL207584,Q9Y478,11.1
CHEMBL207674,O00141,11.1
CHEMBL207674,O14757,11.1
CHEMBL207674,O15264,11.1
CHEMBL207674,O43741,11.1
CHEMBL207674,O75116,11.1
CHEMBL207674,P00533,13.273393743
CHEMBL207674,P06239,11.1
CHEMBL207674,P12931,11.1
CHEMBL207674,P17612,11.1
CHEMBL207674,P22612,11.1
CHEMBL207674,P22694,11.1
CHEMBL207674,P28482,11.1
CHEMBL207674,P35968,11.1
CHEMBL207674,P45983,11.1
CHEMBL207674,P45984,11.1
CHEMBL207674,P49841,11.1
CHEMBL207674,P53778,11.1
CHEMBL207674,P53779,11.1
CHEMBL207674,P54619,11.1
CHEMBL207674,P54646,11.1
CHEMBL207674,Q13131,11.1
CHEMBL207674,Q15759,11.1
CHEMBL207674,Q16539,11.1
CHEMBL207674,Q9UGI9,11.1
CHEMBL207674,Q9UGJ0,11.1
CHEMBL207674,Q9Y478,11.1
CHEMBL207687,O00141,11.1
CHEMBL207687,O14757,11.1
CHEMBL207687,O15264,11.1
CHEMBL207687,O43741,11.1
CHEMBL207687,O75116,11.1
CHEMBL207687,P00533,13.949485002
CHEMBL207687,P06239,11.1
CHEMBL207687,P12931,11.1
CHEMBL207687,P17612,11.1
CHEMBL207687,P22612,11.1
CHEMBL207687,P22694,11.1
CHEMBL207687,P28482,11.1
CHEMBL207687,P35968,11.1
CHEMBL207687,P45983,11.1
CHEMBL207687,P45984,11.1
CHEMBL207687,P49841,11.1
CHEMBL207687,P53778,11.1
CHEMBL207687,P53779,11.1
CHEMBL207687,P54619,11.1
CHEMBL207687,P54646,11.1
CHEMBL207687,Q13131,11.1
CHEMBL207687,Q15759,11.1
CHEMBL207687,Q16539,11.1
CHEMBL207687,Q9UGI9,11.1
CHEMBL207687,Q9UGJ0,11.1
CHEMBL207687,Q9Y478,11.1
CHEMBL207718,O00141,11.1
CHEMBL207718,O14757,11.1
CHEMBL207718,O15264,11.1
CHEMBL207718,O43741,11.1
CHEMBL207718,O75116,11.1
CHEMBL207718,P00533,13.949485002
CHEMBL207718,P06239,11.1
CHEMBL207718,P12931,11.1
CHEMBL207718,P17612,11.1
CHEMBL207718,P22612,11.1
CHEMBL207718,P22694,11.1
CHEMBL207718,P28482,11.1
CHEMBL207718,P35968,11.1
CHEMBL207718,P45983,11.1
CHEMBL207718,P45984,11.1
CHEMBL207718,P49841,11.1
CHEMBL207718,P53778,11.1
CHEMBL207718,P53779,11.1
CHEMBL207718,P54619,11.1
CHEMBL207718,P54646,11.1
